step,n_predators,n_prey
0,100,500
1,104,648
2,110,820
3,112,978
4,117,1153
5,125,1311
6,128,1468
7,136,1568
8,144,1658
9,149,1732
10,164,1777
11,171,1786
12,186,1760
13,202,1756
14,213,1721
15,226,1708
16,251,1683
17,276,1603
18,301,1553
19,321,1492
20,352,1428
21,376,1357
22,396,1281
23,422,1191
24,440,1132
25,461,1080
26,479,1028
27,497,978
28,520,905
29,533,825
30,551,747
31,560,688
32,566,659
33,577,613
34,589,553
35,591,509
36,596,474
37,595,448
38,590,403
39,588,400
40,589,395
41,584,372
42,578,357
43,575,357
44,559,330
45,549,318
46,535,310
47,529,320
48,511,311
49,483,304
50,471,310
51,443,315
52,434,308
53,409,309
54,399,320
55,382,319
56,364,339
57,355,350
58,333,354
59,311,388
60,300,403
61,292,424
62,290,446
63,280,482
64,281,525
65,286,557
66,289,594
67,292,617
68,300,676
69,306,717
70,305,762
71,316,793
72,318,827
73,324,848
74,327,868
75,325,906
76,330,944
77,340,956
78,352,976
79,361,995
80,372,993
81,389,983
82,398,989
83,402,981
84,414,954
85,428,926
86,436,896
87,444,871
88,459,827
89,465,797
90,474,765
91,485,733
92,489,705
93,493,632
94,505,595
95,510,589
96,507,537
97,507,505
98,514,476
99,510,456
100,512,454
101,511,443
102,506,417
103,504,389
104,496,384
105,482,362
106,472,348
107,464,337
108,438,351
109,427,359
110,425,361
111,414,369
112,410,382
113,395,384
114,389,406
115,384,431
116,377,448
117,371,495
118,363,523
119,351,555
120,341,571
121,338,582
122,336,627
123,330,672
124,327,711
125,323,753
126,329,810
127,338,814
128,344,844
129,349,853
130,355,865
131,367,865
132,374,868
133,386,878
134,397,868
135,410,878
136,422,841
137,433,808
138,449,792
139,455,760
140,475,781
141,481,748
142,485,748
143,495,721
144,503,708
145,509,649
146,515,618
147,526,587
148,533,582
149,534,557
150,539,520
151,540,502
152,538,479
153,537,454
154,532,433
155,533,422
156,526,400
157,524,381
158,511,385
159,503,385
160,488,393
161,479,394
162,465,402
163,462,399
164,445,419
165,440,437
166,429,448
167,410,452
168,407,466
169,409,486
170,403,507
171,392,508
172,378,534
173,375,562
174,371,577
175,373,610
176,373,624
177,367,645
178,367,696
179,369,708
180,372,708
181,375,691
182,376,690
183,387,683
184,392,689
185,403,675
186,413,659
187,423,643
188,437,630
189,444,629
190,450,626
191,461,603
192,461,587
193,471,588
194,477,591
195,489,589
196,485,560
197,487,535
198,489,548
199,494,499
200,486,492
201,490,467
202,486,455
203,479,463
204,472,466
205,472,462
206,458,455
207,451,446
208,442,457
209,440,467
210,434,452
211,427,470
212,425,457
213,420,435
214,411,438
215,408,433
216,406,454
217,403,465
218,397,481
219,400,495
220,398,507
221,394,523
222,400,532
223,397,554
224,390,588
225,390,604
226,382,629
227,374,656
228,375,652
229,372,673
230,356,692
231,356,695
232,354,730
233,352,749
234,350,771
235,345,786
236,341,809
237,339,829
238,348,826
239,352,848
240,362,860
241,366,864
242,372,867
243,377,875
244,385,899
245,391,886
246,399,879
247,410,875
248,415,850
249,424,844
250,450,811
251,459,755
252,472,738
253,487,697
254,495,674
255,502,647
256,512,614
257,518,617
258,534,607
259,538,580
260,538,541
261,538,508
262,540,496
263,535,474
264,529,461
265,520,432
266,513,398
267,507,380
268,497,369
269,480,370
270,475,382
271,467,379
272,458,367
273,440,379
274,431,383
275,417,416
276,409,432
277,391,445
278,381,444
279,381,476
280,372,493
281,361,517
282,362,540
283,349,573
284,349,589
285,347,635
286,343,653
287,346,688
288,347,725
289,352,770
290,347,793
291,355,819
292,363,845
293,371,832
294,370,846
295,376,848
296,380,875
297,383,862
298,397,853
299,405,855
300,416,848
301,428,781
302,443,762
303,455,718
304,458,705
305,465,674
306,467,645
307,480,606
308,483,583
309,491,565
310,498,545
311,505,519
312,516,498
313,511,477
314,514,468
315,515,443
316,505,430
317,491,420
318,483,436
319,480,445
320,477,441
321,451,425
322,436,430
323,426,435
324,415,449
325,404,459
326,390,460
327,383,485
328,377,509
329,372,503
330,371,547
331,375,575
332,374,571
333,379,571
334,374,572
335,374,578
336,375,596
337,383,620
338,389,611
339,394,612
340,388,639
341,392,668
342,396,674
343,403,667
344,412,663
345,414,676
346,422,693
347,427,683
348,432,681
349,432,690
350,439,689
351,440,712
352,444,700
353,445,684
354,445,650
355,449,647
356,460,624
357,464,598
358,458,615
359,455,594
360,457,563
361,461,551
362,463,543
363,468,550
364,465,546
365,463,523
366,467,519
367,460,490
368,454,478
369,449,493
370,451,495
371,443,514
372,438,530
373,437,530
374,435,552
375,436,560
376,435,596
377,431,607
378,434,616
379,438,632
380,433,657
381,431,657
382,420,645
383,408,645
384,401,652
385,395,657
386,404,647
387,412,639
388,420,628
389,418,632
390,421,624
391,413,610
392,421,586
393,426,585
394,418,547
395,419,532
396,420,546
397,414,573
398,407,565
399,407,554
400,397,557
401,392,579
402,388,595
403,385,603
404,375,633
405,369,636
406,373,632
407,359,651
408,357,648
409,354,649
410,362,658
411,364,674
412,363,681
413,363,707
414,362,704
415,364,738
416,371,785
417,375,790
418,379,802
419,381,816
420,387,832
421,395,845
422,405,816
423,417,810
424,425,824
425,431,792
426,437,761
427,438,762
428,444,759
429,449,796
430,449,761
431,449,723
432,452,733
433,458,725
434,460,728
435,470,727
436,464,712
437,466,680
438,460,660
439,462,650
440,455,639
441,447,635
442,455,616
443,457,601
444,459,603
445,457,572
446,461,577
447,454,577
448,457,560
449,458,553
450,454,544
451,458,557
452,462,547
453,461,532
454,459,538
455,461,541
456,456,564
457,444,540
458,442,562
459,439,553
460,432,578
461,431,591
462,421,598
463,420,581
464,421,606
465,418,602
466,410,617
467,408,615
468,402,587
469,413,590
470,413,612
471,422,604
472,424,610
473,424,610
474,418,613
475,420,605
476,420,634
477,427,627
478,431,633
479,443,634
480,447,608
481,453,593
482,448,600
483,448,589
484,448,591
485,452,591
486,447,587
487,438,572
488,445,568
489,443,588
490,442,587
491,455,602
492,467,586
493,479,542
494,480,521
495,474,538
496,472,542
497,472,525
498,466,526
499,475,526
500,477,507
501,465,534
502,466,538
503,470,547
504,463,578
505,452,567
506,450,579
507,452,594
508,455,586
509,441,574
510,440,585
511,438,581
512,426,575
513,428,580
514,422,587
515,425,568
516,423,563
517,417,561
518,416,570
519,421,580
520,417,588
521,413,597
522,418,610
523,412,611
524,411,592
525,412,588
526,409,597
527,414,583
528,407,580
529,395,576
530,394,561
531,403,545
532,405,509
533,404,500
534,412,486
535,412,483
536,414,494
537,409,490
538,409,480
539,405,494
540,407,518
541,401,531
542,402,557
543,407,541
544,408,547
545,410,565
546,402,569
547,392,604
548,391,626
549,394,624
550,397,611
551,400,609
552,390,613
553,388,647
554,382,654
555,385,654
556,385,671
557,388,662
558,390,697
559,391,703
560,392,704
561,390,697
562,401,689
563,405,687
564,408,683
565,415,673
566,408,647
567,418,653
568,438,644
569,450,616
570,455,589
571,464,585
572,467,608
573,475,614
574,478,588
575,484,593
576,488,579
577,492,572
578,489,571
579,487,566
580,485,550
581,482,539
582,492,515
583,483,504
584,484,486
585,475,479
586,473,471
587,473,478
588,467,477
589,447,472
590,442,467
591,435,485
592,434,474
593,422,477
594,417,480
595,417,479
596,415,511
597,406,530
598,404,532
599,390,537
600,395,534
601,387,545
602,370,572
603,360,575
604,360,586
605,358,607
606,354,626
607,354,658
608,356,698
609,361,736
610,357,761
611,358,766
612,361,788
613,363,793
614,370,810
615,370,829
616,372,847
617,387,847
618,398,846
619,403,851
620,417,856
621,421,849
622,423,856
623,435,852
624,449,830
625,458,795
626,468,771
627,478,757
628,486,751
629,494,726
630,497,714
631,505,684
632,513,631
633,512,624
634,518,595
635,522,573
636,523,536
637,524,501
638,524,485
639,513,458
640,503,437
641,490,447
642,488,437
643,470,412
644,453,404
645,442,392
646,434,386
647,421,398
648,415,405
649,396,393
650,383,394
651,379,406
652,371,419
653,363,449
654,353,483
655,349,512
656,345,558
657,335,602
658,328,638
659,331,673
660,327,712
661,328,755
662,337,807
663,339,843
664,339,857
665,338,882
666,337,912
667,351,925
668,350,948
669,358,943
670,364,924
671,368,918
672,377,902
673,384,885
674,394,855
675,402,857
676,421,811
677,427,808
678,433,798
679,441,787
680,445,762
681,457,745
682,467,735
683,476,714
684,483,727
685,496,716
686,495,687
687,500,658
688,502,642
689,493,626
