step,n_predators,n_prey
0,100,500
1,105,654
2,107,823
3,114,1010
4,123,1162
5,131,1322
6,137,1463
7,144,1572
8,157,1643
9,172,1679
10,184,1691
11,194,1711
12,209,1709
13,227,1688
14,242,1667
15,264,1629
16,282,1588
17,307,1531
18,325,1473
19,352,1412
20,376,1358
21,393,1309
22,421,1223
23,443,1144
24,465,1075
25,483,1007
26,510,931
27,530,860
28,548,819
29,562,758
30,581,661
31,591,617
32,614,551
33,626,494
34,633,448
35,628,406
36,634,379
37,633,342
38,624,320
39,615,287
40,605,271
41,592,260
42,569,254
43,561,226
44,542,227
45,518,229
46,491,220
47,452,215
48,435,206
49,406,185
50,375,190
51,346,199
52,324,210
53,306,228
54,285,237
55,261,257
56,243,289
57,230,327
58,218,364
59,208,407
60,201,470
61,192,528
62,187,576
63,184,632
64,190,686
65,197,736
66,208,793
67,208,855
68,215,904
69,216,960
70,228,1011
71,235,1058
72,248,1092
73,250,1143
74,259,1202
75,266,1247
76,279,1254
77,296,1297
78,317,1259
79,326,1266
80,337,1247
81,347,1223
82,360,1220
83,381,1208
84,395,1177
85,409,1089
86,418,1037
87,432,1019
88,442,989
89,457,937
90,475,878
91,488,837
92,492,776
93,494,729
94,507,670
95,514,654
96,526,607
97,529,569
98,528,549
99,527,529
100,536,501
101,542,478
102,540,445
103,536,405
104,527,387
105,516,378
106,500,377
107,496,368
108,493,348
109,485,347
110,471,337
111,454,332
112,441,328
113,428,353
114,422,344
115,409,360
116,397,388
117,383,422
118,370,443
119,358,470
120,343,483
121,333,516
122,321,529
123,310,560
124,304,612
125,302,648
126,305,675
127,308,708
128,316,729
129,324,759
130,332,773
131,345,813
132,350,808
133,361,798
134,370,789
135,375,805
136,378,811
137,392,839
138,401,809
139,410,841
140,415,865
141,425,879
142,434,887
143,444,855
144,452,823
145,465,787
146,483,762
147,497,733
148,505,692
149,515,642
150,528,594
151,530,589
152,528,546
153,536,530
154,536,498
155,545,472
156,550,427
157,542,393
158,546,375
159,548,330
160,546,318
161,536,322
162,521,313
163,508,315
164,492,327
165,473,329
166,466,325
167,454,333
168,433,341
169,419,359
170,398,381
171,384,393
172,372,402
173,360,428
174,338,438
175,320,466
176,314,493
177,304,505
178,304,523
179,304,572
180,310,618
181,316,664
182,319,701
183,324,728
184,331,781
185,333,812
186,338,838
187,337,877
188,338,929
189,342,935
190,357,946
191,370,949
192,379,961
193,391,969
194,403,953
195,417,911
196,431,897
197,438,866
198,452,826
199,456,798
200,467,759
201,476,732
202,481,735
203,489,682
204,490,657
205,501,630
206,507,610
207,518,594
208,517,560
209,525,541
210,532,537
211,540,534
212,540,505
213,536,475
214,525,456
215,523,444
216,515,424
217,512,423
218,501,393
219,492,394
220,486,397
221,474,384
222,462,378
223,453,375
224,444,382
225,430,372
226,404,361
227,395,377
228,382,385
229,361,416
230,355,461
231,348,478
232,344,509
233,331,517
234,329,532
235,316,573
236,310,620
237,304,669
238,305,718
239,300,769
240,292,796
241,296,831
242,295,872
243,304,863
244,321,887
245,327,911
246,337,923
247,337,947
248,333,956
249,341,975
250,348,980
251,364,976
252,382,959
253,403,939
254,422,912
255,440,886
256,460,859
257,470,841
258,485,816
259,498,779
260,507,760
261,523,716
262,527,662
263,533,619
264,534,596
265,548,560
266,552,526
267,551,487
268,555,469
269,548,460
270,539,425
271,535,399
272,525,381
273,516,362
274,512,339
275,500,331
276,485,326
277,477,321
278,467,305
279,446,305
280,423,318
281,411,345
282,409,351
283,392,388
284,382,408
285,378,449
286,380,483
287,375,518
288,366,572
289,351,587
290,349,613
291,337,655
292,332,688
293,329,699
294,326,729
295,326,722
296,325,747
297,328,778
298,330,798
299,336,808
300,338,801
301,344,797
302,348,795
303,351,797
304,355,807
305,361,816
306,373,807
307,384,808
308,394,805
309,407,784
310,408,762
311,421,748
312,436,725
313,448,697
314,450,683
315,457,682
316,467,682
317,470,683
318,472,656
319,472,621
320,479,605
321,481,593
322,484,562
323,490,543
324,490,546
325,501,554
326,502,514
327,501,514
328,503,493
329,506,468
330,508,464
331,508,453
332,505,453
333,500,448
334,489,447
335,489,458
336,477,447
337,463,453
338,458,433
339,451,444
340,433,448
341,419,466
342,415,451
343,406,471
344,393,475
345,390,477
346,387,487
347,382,488
348,377,479
349,371,497
350,381,510
351,378,535
352,380,570
353,379,603
354,377,601
355,383,616
356,385,646
357,397,657
358,400,676
359,407,694
360,405,701
361,404,721
362,401,731
363,409,741
364,414,728
365,421,727
366,430,707
367,435,716
368,445,695
369,451,690
370,460,660
371,471,645
372,473,632
373,479,609
374,482,602
375,479,591
376,484,584
377,491,553
378,489,520
379,492,515
380,493,500
381,484,483
382,488,481
383,480,475
384,479,478
385,479,457
386,471,430
387,463,421
388,447,413
389,444,424
390,442,429
391,428,423
392,425,439
393,417,445
394,410,456
395,398,454
396,393,496
397,388,514
398,386,542
399,380,529
400,371,525
401,361,542
402,364,563
403,365,575
404,361,580
405,358,598
406,357,642
407,358,638
408,362,662
409,366,712
410,362,735
411,365,763
412,371,779
413,363,795
414,362,789
415,363,765
416,365,775
417,375,778
418,377,768
419,380,775
420,390,747
421,397,737
422,401,760
423,406,735
424,409,734
425,416,741
426,419,726
427,426,714
428,427,714
429,432,694
430,438,682
431,443,654
432,452,641
433,456,592
434,463,567
435,462,554
436,468,530
437,471,546
438,466,546
439,461,541
440,465,544
441,464,533
442,460,538
443,456,523
444,449,526
445,450,536
446,446,516
447,435,502
448,431,499
449,429,501
450,429,498
451,412,499
