step,n_predators,n_prey
0,100,500
1,103,665
2,107,852
3,114,1043
4,124,1223
5,137,1395
6,153,1531
7,159,1615
8,174,1663
9,191,1690
10,215,1698
11,235,1676
12,252,1643
13,277,1605
14,296,1549
15,318,1509
16,342,1442
17,366,1372
18,399,1296
19,419,1245
20,440,1173
21,461,1104
22,487,1043
23,511,958
24,535,872
25,555,805
26,578,734
27,601,654
28,615,557
29,633,509
30,640,467
31,654,408
32,655,356
33,645,333
34,645,296
35,638,280
36,624,266
37,613,240
38,606,222
39,585,201
40,560,192
41,539,196
42,507,184
43,471,187
44,440,216
45,417,218
46,382,230
47,353,231
48,324,238
49,299,250
50,286,280
51,270,326
52,253,349
53,240,394
54,240,449
55,234,495
56,230,539
57,225,592
58,225,635
59,229,695
60,228,787
61,232,862
62,243,926
63,246,998
64,259,1045
65,272,1113
66,284,1134
67,294,1155
68,301,1190
69,316,1206
70,333,1207
71,345,1183
72,360,1127
73,376,1111
74,391,1067
75,404,1023
76,417,1000
77,427,978
78,450,924
79,462,867
80,473,824
81,479,765
82,483,715
83,486,707
84,489,659
85,501,616
86,501,608
87,505,589
88,506,560
89,510,522
90,518,499
91,513,482
92,515,475
93,507,469
94,500,443
95,491,407
96,496,396
97,493,412
98,481,428
99,476,430
100,475,413
101,472,417
102,469,392
103,466,409
104,462,418
105,460,428
106,457,401
107,438,416
108,431,407
109,415,399
110,403,388
111,383,405
112,381,430
113,374,447
114,362,453
115,359,475
116,350,506
117,344,526
118,341,534
119,340,538
120,337,576
121,337,602
122,339,623
123,334,633
124,339,660
125,337,678
126,346,731
127,359,758
128,364,785
129,364,786
130,373,791
131,379,779
132,389,796
133,395,793
134,407,792
135,414,792
136,419,778
137,421,804
138,425,795
139,426,832
140,431,825
141,439,810
142,436,790
143,439,784
144,439,768
145,440,780
146,441,756
147,449,719
148,453,687
149,462,687
150,466,656
151,465,654
152,474,650
153,476,639
154,479,639
155,487,629
156,487,606
157,480,603
158,483,614
159,496,569
160,499,564
161,494,541
162,491,548
163,485,529
164,482,520
165,477,505
166,475,480
167,463,468
168,457,463
169,452,451
170,443,449
171,437,444
172,433,433
173,425,458
174,415,455
175,403,472
176,406,482
177,415,499
178,409,505
179,408,506
180,405,528
181,396,552
182,400,573
183,406,569
184,406,589
185,407,605
186,400,614
187,403,608
188,403,603
189,399,618
190,411,609
191,414,592
192,410,599
193,426,607
194,436,574
195,438,591
196,439,585
197,445,608
198,446,624
199,452,613
200,461,613
201,461,599
202,471,576
203,480,554
204,480,561
205,475,568
206,481,574
207,468,595
208,466,564
209,466,574
210,468,560
211,465,547
212,469,528
213,473,503
214,466,497
215,461,490
216,456,483
217,449,487
218,439,474
219,435,480
220,432,501
221,426,514
222,423,530
223,429,556
224,431,577
225,428,591
226,427,569
227,426,580
228,422,581
229,420,559
230,429,551
231,429,535
232,429,520
233,426,509
234,419,526
235,421,510
236,423,541
237,430,557
238,438,545
239,450,535
240,453,518
241,456,496
242,458,500
243,459,488
244,455,521
245,454,517
246,461,526
247,459,542
248,461,548
249,470,547
250,465,543
251,466,542
252,458,534
253,458,555
254,461,523
255,454,509
256,457,494
257,456,450
258,457,446
259,455,448
260,450,442
261,444,445
262,436,437
263,436,450
264,430,457
265,422,460
266,422,442
267,420,445
268,416,446
269,408,453
270,404,465
271,395,474
272,398,492
273,380,490
274,380,520
275,377,552
276,372,546
277,377,538
278,388,547
279,387,576
280,387,603
281,386,597
282,391,594
283,392,595
284,388,611
285,389,621
286,382,629
287,374,631
288,373,630
289,371,656
290,374,653
291,363,669
292,367,690
293,361,701
294,365,700
295,367,722
296,376,740
297,384,719
298,389,725
299,395,714
300,399,702
301,402,693
302,407,703
303,414,712
304,420,733
305,421,731
306,425,760
307,431,746
308,441,710
309,450,667
310,458,664
311,458,626
312,471,600
313,475,582
314,465,570
315,454,586
316,451,588
317,451,608
318,450,615
319,445,597
320,452,562
321,451,569
322,449,536
323,441,552
324,452,546
325,447,540
326,449,557
327,449,582
328,449,593
329,438,614
330,445,605
331,449,605
332,458,595
333,457,590
334,454,607
335,452,600
336,453,584
337,450,581
338,449,594
339,447,575
340,448,567
341,450,573
342,451,576
343,450,578
344,451,551
345,446,566
346,446,551
347,442,547
348,442,532
349,438,518
350,437,520
351,436,540
352,437,562
353,443,579
354,453,579
355,454,560
356,446,556
357,443,554
358,447,533
359,440,520
360,437,532
361,436,540
362,440,552
363,447,561
364,445,550
365,435,551
366,440,573
367,445,557
368,445,554
369,447,562
370,440,567
371,442,560
372,445,543
373,447,540
374,454,539
375,460,542
376,460,515
377,456,503
378,446,492
379,444,514
380,440,514
381,445,528
382,444,546
383,443,523
384,442,539
385,450,552
386,447,566
387,447,531
388,440,513
389,441,532
390,439,532
391,434,558
392,433,543
393,429,551
394,427,536
395,435,546
396,435,568
397,433,567
398,434,573
399,438,566
400,441,557
401,444,573
402,434,582
403,438,572
404,432,577
405,427,594
406,422,576
407,412,571
408,416,587
409,414,592
410,411,601
411,414,620
412,420,614
413,419,591
414,420,584
415,420,588
416,421,578
417,426,602
418,426,580
419,430,597
420,444,567
421,444,572
422,443,579
423,450,573
424,447,588
425,461,593
426,464,586
427,471,579
428,467,579
429,467,577
430,468,571
431,463,586
432,463,603
433,457,608
434,456,617
435,443,635
436,439,647
437,450,626
438,460,607
439,463,594
440,461,571
441,460,566
442,450,537
443,445,542
444,453,549
445,459,548
446,465,529
447,458,543
448,462,543
449,478,515
450,486,523
451,486,544
452,486,558
453,483,528
454,484,529
455,483,522
456,483,523
457,491,495
458,501,454
459,492,457
460,492,430
461,490,409
462,485,414
463,485,391
464,469,409
465,472,411
466,476,415
467,473,399
468,473,426
469,467,437
470,455,457
471,453,461
472,446,471
473,435,482
474,433,487
475,424,497
476,416,485
477,424,502
478,421,484
479,421,482
480,419,508
481,422,531
482,416,562
483,414,586
484,418,615
485,416,647
486,408,672
487,403,688
488,396,723
489,396,742
490,397,764
491,402,756
492,395,740
493,392,739
494,386,726
495,390,739
496,391,757
497,405,737
498,413,710
499,414,668
500,418,645
501,436,625
502,442,574
503,462,516
504,471,481
505,471,433
506,467,398
507,467,366
508,460,357
509,456,337
510,452,294
511,448,268
512,432,247
513,411,225
514,395,199
515,373,190
516,341,173
517,304,155
518,257,152
519,232,149
520,207,151
521,189,140
522,176,146
523,167,138
524,154,129
525,144,140
526,135,142
527,129,152
528,121,168
529,111,179
530,105,184
531,99,174
532,92,176
533,90,186
534,87,191
535,86,202
536,83,205
537,76,201
538,68,206
539,66,212
540,66,221
541,62,241
542,61,247
543,60,261
544,61,277
545,58,297
546,52,310
547,54,323
548,52,336
549,51,345
550,52,361
551,48,365
552,48,374
553,48,380
554,42,407
555,41,416
556,42,429
557,42,438
558,43,443
559,43,458
560,42,468
561,40,482
562,35,496
563,35,513
564,32,534
565,27,549
566,24,564
567,23,579
568,19,597
569,18,608
570,16,620
571,15,630
572,12,652
573,9,658
574,8,667
575,8,670
576,7,670
577,7,685
578,7,694
579,7,716
580,7,718
581,7,726
582,7,736
583,7,749
584,7,749
585,7,763
586,7,781
587,8,776
