step,n_predators,n_prey
0,100,500
1,106,643
2,108,817
3,116,1011
4,122,1182
5,130,1341
6,139,1439
7,149,1538
8,167,1603
9,185,1661
10,194,1688
11,209,1672
12,228,1648
13,247,1591
14,263,1580
15,279,1547
16,295,1493
17,317,1455
18,343,1372
19,364,1291
20,380,1249
21,405,1172
22,431,1099
23,457,1051
24,481,960
25,498,903
26,517,832
27,547,775
28,562,723
29,587,654
30,601,579
31,610,519
32,615,500
33,627,464
34,634,453
35,633,400
36,621,361
37,613,334
38,601,317
39,590,285
40,576,254
41,559,246
42,522,242
43,497,233
44,461,226
45,445,205
46,430,212
47,418,221
48,402,227
49,379,216
50,361,214
51,344,231
52,338,241
53,319,262
54,299,285
55,290,328
56,284,367
57,274,391
58,265,439
59,254,491
60,242,558
61,236,612
62,228,666
63,226,719
64,223,773
65,224,825
66,223,860
67,216,902
68,218,940
69,218,968
70,220,1035
71,229,1068
72,243,1106
73,251,1117
74,264,1126
75,272,1130
76,291,1130
77,311,1128
78,324,1123
79,343,1132
80,355,1119
81,371,1119
82,383,1080
83,393,1043
84,412,997
85,420,959
86,436,894
87,445,874
88,460,821
89,469,792
90,483,713
91,488,688
92,496,653
93,502,636
94,516,625
95,515,589
96,526,577
97,534,549
98,537,519
99,534,486
100,531,472
101,535,441
102,535,394
103,522,386
104,510,379
105,501,365
106,494,361
107,478,363
108,477,362
109,466,368
110,463,363
111,452,384
112,447,398
113,446,407
114,436,409
115,426,431
116,399,447
117,387,463
118,391,482
119,383,500
120,383,508
121,370,514
122,370,532
123,359,545
124,361,558
125,351,574
126,349,604
127,344,631
128,342,667
129,345,683
130,351,700
131,349,728
132,348,769
133,353,799
134,356,804
135,367,812
136,378,807
137,382,822
138,394,825
139,398,833
140,409,832
141,419,845
142,429,840
143,442,835
144,441,839
145,437,821
146,448,769
147,453,740
148,457,720
149,457,683
150,466,658
151,467,643
152,473,622
153,480,619
154,486,582
155,492,588
156,486,572
157,487,559
158,495,524
159,498,473
160,500,461
161,503,441
162,507,436
163,509,412
164,510,402
165,499,409
166,497,421
167,492,429
168,491,432
169,489,417
170,481,414
171,475,408
172,463,414
173,446,431
174,438,440
175,428,449
176,408,458
177,398,476
178,386,516
179,378,553
180,383,566
181,383,587
182,385,614
183,382,635
184,368,644
185,369,678
186,360,686
187,359,699
188,360,738
189,371,748
190,377,750
191,389,765
192,390,771
193,394,783
194,401,809
195,404,815
196,415,827
197,423,817
198,437,794
199,443,766
200,442,748
201,451,745
202,460,716
203,466,721
204,475,673
205,485,644
206,478,637
