step,n_predators,n_prey
0,100,500
1,105,725
2,116,943
3,125,1142
4,142,1318
5,157,1465
6,179,1592
7,194,1669
8,213,1724
9,244,1765
10,275,1766
11,307,1768
12,346,1741
13,380,1706
14,412,1657
15,455,1585
16,489,1530
17,528,1448
18,565,1372
19,606,1288
20,638,1195
21,672,1122
22,704,1034
23,733,947
24,751,856
25,770,770
26,787,701
27,793,634
28,791,578
29,783,520
30,774,469
31,763,426
32,743,371
33,733,330
34,699,292
35,685,249
36,663,220
37,625,197
38,593,180
39,558,155
40,538,149
41,508,135
42,474,126
43,453,127
44,434,123
45,405,123
46,375,117
47,351,116
48,334,120
49,319,123
50,306,129
51,289,135
52,269,144
53,251,144
54,231,152
55,218,155
56,205,162
57,187,167
58,176,168
59,166,177
60,158,181
61,145,193
62,134,203
63,126,210
64,119,217
65,109,228
66,101,234
67,94,243
68,88,253
69,84,262
70,76,270
71,71,277
72,63,287
73,52,293
74,46,297
75,35,300
76,30,304
77,27,309
78,25,314
79,22,318
80,21,319
81,17,327
82,16,329
83,15,339
84,14,342
85,13,348
86,13,352
87,15,357
88,15,361
89,16,364
90,16,364
91,16,365
92,15,376
93,17,376
94,17,381
95,19,383
96,20,385
97,20,384
98,19,389
99,18,393
100,18,397
101,19,401
102,21,402
103,23,406
104,24,405
105,25,403
106,25,402
107,26,402
108,26,401
109,27,407
110,30,409
111,31,404
112,32,413
113,32,410
114,31,411
115,31,414
116,32,414
117,33,414
118,33,417
119,33,416
120,33,419
121,33,419
122,34,415
123,34,421
124,34,423
125,35,423
126,35,424
127,37,426
128,36,423
129,34,422
130,31,425
131,29,426
132,29,428
133,28,429
134,28,430
135,27,430
136,27,426
137,28,422
138,28,421
139,28,421
140,28,421
141,28,423
142,29,414
143,28,420
144,26,424
145,25,423
146,25,427
147,24,428
148,25,429
149,25,432
150,25,429
151,24,429
152,26,425
153,27,415
154,28,416
155,27,417
156,25,424
157,24,424
158,23,428
159,23,427
160,25,427
161,26,435
162,26,436
163,26,437
164,27,438
165,28,437
166,30,436
167,31,431
168,31,424
169,31,427
170,31,429
171,33,424
172,34,425
173,35,416
174,35,421
175,37,423
176,38,422
177,38,426
178,39,428
179,39,432
180,40,434
181,41,430
182,44,432
183,44,432
184,44,428
185,44,431
186,44,431
187,45,434
188,45,436
189,48,440
190,47,437
191,49,431
192,48,435
193,48,439
194,50,437
195,51,439
196,50,438
197,48,441
198,46,444
199,47,439
200,48,442
201,48,446
202,49,442
203,49,444
204,50,435
205,49,440
206,50,443
207,52,441
208,50,440
209,50,443
210,50,443
211,50,450
212,50,449
213,50,450
214,48,453
215,47,451
216,48,449
217,48,451
218,44,453
219,45,449
220,45,453
221,45,457
222,47,452
223,47,456
224,47,459
225,48,458
226,49,459
227,48,461
228,46,465
229,45,467
230,45,463
231,45,463
232,46,471
233,45,464
234,46,468
235,46,465
236,45,470
237,46,471
238,46,473
239,47,471
240,49,475
241,50,471
242,50,473
243,52,470
244,51,470
245,52,469
246,53,462
247,52,460
248,50,463
249,47,472
250,45,472
251,45,474
252,45,474
253,46,470
254,46,479
255,47,480
256,47,479
257,48,477
258,48,480
259,49,483
260,50,478
261,51,471
262,50,467
263,49,474
264,48,464
265,47,470
266,46,465
267,46,468
268,47,468
269,48,467
270,48,463
271,48,466
272,48,468
273,47,467
274,47,465
275,48,466
276,45,470
277,45,465
278,46,463
279,46,466
280,45,470
281,42,469
282,42,473
283,42,473
284,44,466
285,47,473
286,47,476
287,47,474
288,47,474
289,46,474
290,47,481
291,48,479
292,49,472
293,49,469
294,49,474
295,47,463
296,45,468
297,45,465
298,44,471
299,44,478
300,45,478
301,45,474
302,45,478
303,46,479
304,45,474
305,47,476
306,48,475
307,49,478
308,48,470
309,48,469
310,47,466
311,45,475
312,41,470
313,39,475
314,38,475
315,37,473
316,34,473
317,33,477
318,31,477
319,31,474
320,33,475
321,34,478
322,34,477
323,34,472
324,36,470
325,36,473
326,36,467
327,36,471
328,37,466
329,37,469
330,38,474
331,36,476
332,37,470
333,36,476
334,36,478
335,36,471
336,36,473
337,35,472
338,34,476
339,33,469
340,34,468
341,34,467
342,34,474
343,33,474
344,34,479
345,35,479
346,35,478
347,35,481
348,35,485
349,35,487
350,35,483
351,35,485
352,35,484
353,35,484
354,35,477
355,37,472
356,41,474
357,42,467
358,42,471
359,42,463
360,40,469
361,40,474
362,39,477
363,38,475
364,38,479
365,38,481
366,37,478
367,35,478
368,34,477
