step,n_predators,n_prey
0,100,500
1,108,666
2,116,829
3,119,978
4,128,1087
5,135,1171
6,146,1226
7,153,1276
8,160,1330
9,175,1357
10,188,1386
11,194,1421
12,202,1441
13,214,1467
14,224,1454
15,233,1448
16,236,1421
17,244,1423
18,257,1436
19,251,1433
20,259,1439
21,263,1435
22,266,1428
23,265,1417
24,262,1410
25,260,1395
26,269,1405
27,270,1384
28,270,1382
29,278,1385
30,277,1360
31,277,1354
32,277,1354
33,267,1328
34,271,1338
35,263,1318
36,261,1310
37,266,1288
38,272,1275
39,272,1233
40,276,1230
41,275,1206
42,275,1170
43,271,1162
44,270,1134
45,278,1114
46,276,1106
47,278,1089
48,283,1075
49,282,1050
50,286,1028
51,281,1013
52,284,996
53,274,1015
54,274,1022
55,266,1012
56,263,1019
57,260,1015
58,257,1028
59,252,1042
60,246,1052
61,249,1071
62,249,1080
63,245,1088
64,244,1116
65,244,1141
66,243,1169
67,241,1204
68,238,1210
69,242,1238
70,242,1245
71,240,1230
72,236,1223
73,240,1213
74,235,1213
75,238,1215
76,236,1203
77,231,1216
78,235,1208
79,234,1227
80,232,1230
81,236,1230
82,233,1224
83,240,1217
84,239,1230
85,245,1221
86,251,1236
87,249,1216
88,248,1230
89,250,1231
90,252,1244
91,256,1240
92,260,1243
93,265,1246
94,268,1244
95,278,1246
96,283,1244
97,294,1236
98,297,1234
99,300,1225
100,295,1225
101,294,1226
102,294,1219
103,297,1225
104,300,1240
105,301,1247
106,303,1237
107,304,1258
108,300,1264
109,300,1295
110,298,1282
111,291,1287
112,297,1279
113,298,1263
114,296,1272
115,295,1269
116,295,1250
117,302,1243
118,299,1242
119,303,1230
120,303,1230
121,304,1215
122,303,1202
123,302,1187
124,301,1167
125,300,1151
126,301,1154
127,288,1132
128,284,1131
129,284,1118
130,278,1126
131,278,1118
132,277,1121
133,277,1106
134,272,1103
135,274,1100
136,275,1091
137,275,1084
138,278,1073
139,280,1057
140,269,1065
141,267,1033
142,269,1028
143,264,1030
144,261,1044
145,260,1042
146,255,1044
147,255,1033
148,255,1022
149,259,1019
150,253,1024
151,253,1007
152,252,1005
153,244,1017
154,244,1006
155,250,1019
156,255,1026
157,256,1003
158,257,998
159,255,999
160,256,1028
161,246,1038
162,242,1054
163,240,1079
164,236,1068
165,233,1072
166,228,1091
167,230,1134
168,233,1144
169,236,1167
170,233,1170
171,230,1166
172,233,1166
173,236,1160
174,235,1176
175,236,1175
176,246,1180
177,243,1174
178,237,1156
179,236,1158
180,235,1179
181,236,1205
182,239,1196
183,243,1192
184,241,1197
185,242,1177
186,242,1159
187,244,1184
188,248,1163
189,253,1180
190,250,1168
191,245,1170
192,252,1170
193,265,1184
194,271,1167
195,278,1161
196,280,1158
197,282,1146
198,282,1159
199,281,1154
200,277,1147
201,268,1150
202,269,1157
203,269,1157
204,282,1144
205,284,1146
206,277,1149
207,276,1158
208,275,1180
209,266,1191
210,265,1201
211,262,1197
212,260,1216
213,255,1208
214,252,1198
215,251,1187
216,263,1187
217,269,1176
218,263,1200
219,253,1202
220,259,1187
221,259,1199
222,263,1214
223,259,1222
224,269,1195
225,265,1206
226,264,1212
227,264,1207
228,267,1182
229,269,1175
230,264,1197
231,259,1189
232,248,1211
233,252,1217
234,255,1235
235,250,1249
236,245,1269
237,241,1258
238,242,1281
239,236,1286
240,241,1308
241,240,1318
242,248,1315
243,249,1334
244,255,1312
245,259,1312
246,256,1311
247,263,1341
248,274,1335
249,269,1349
250,279,1334
251,287,1329
252,285,1333
253,280,1324
254,283,1337
255,280,1319
